episode,reward,steps
242.0,-5.0,1773.0
243.0,14.0,1760.0
244.0,3.0,1783.0
245.0,8.0,1768.0
246.0,5.0,1758.0
247.0,2.0,1764.0
248.0,4.0,1779.0
249.0,0.0,1760.0
250.0,-4.0,1764.0
251.0,2.0,1761.0
252.0,-2.0,1774.0
253.0,4.0,1761.0
254.0,0.0,1783.0
255.0,38.0,1633.0
256.0,29.0,1653.0
257.0,20.0,1756.0
258.0,3.0,1764.0
259.0,18.0,1769.0
260.0,14.0,1758.0
261.0,7.0,1769.0
262.0,6.0,1769.0
263.0,11.0,1766.0
264.0,8.0,1770.0
265.0,22.0,1756.0
266.0,9.0,1760.0
267.0,6.0,1775.0
268.0,13.0,1785.0
269.0,3.0,1758.0
270.0,10.0,1784.0
271.0,-12.0,1756.0
272.0,3.0,1771.0
273.0,14.0,1771.0
274.0,44.0,1738.0
275.0,-3.0,1766.0
276.0,2.0,1759.0
277.0,28.0,1766.0
278.0,-1.0,1779.0
279.0,20.0,1767.0
280.0,6.0,1775.0
281.0,20.0,1782.0
282.0,-1.0,1779.0
283.0,7.0,1766.0
284.0,8.0,1762.0
285.0,9.0,1757.0
286.0,7.0,1760.0
287.0,49.0,1512.0
288.0,2.0,1773.0
289.0,2.0,1780.0
290.0,1.0,1772.0
291.0,18.0,1674.0
292.0,-2.0,1781.0
293.0,10.0,1772.0
294.0,9.0,1767.0
295.0,1.0,1761.0
296.0,19.0,1606.0
297.0,15.0,1760.0
298.0,18.0,1757.0
299.0,-4.0,1768.0
300.0,28.0,1612.0
301.0,-2.0,1780.0
302.0,0.0,1765.0
303.0,6.0,1773.0
304.0,31.0,1490.0
305.0,7.0,1759.0
306.0,10.0,1785.0
307.0,-2.0,1763.0
308.0,3.0,1763.0
309.0,6.0,1768.0
310.0,15.0,1757.0
311.0,14.0,1784.0
312.0,0.0,1785.0
313.0,-9.0,1780.0
314.0,3.0,1777.0
315.0,0.0,1760.0
316.0,-4.0,1782.0
317.0,0.0,1783.0
318.0,-2.0,1771.0
319.0,-2.0,1784.0
320.0,20.0,1757.0
321.0,-2.0,1772.0
322.0,9.0,1756.0
323.0,-10.0,1776.0
324.0,7.0,1765.0
325.0,7.0,1758.0
326.0,1.0,1774.0
327.0,17.0,1782.0
328.0,13.0,1785.0
329.0,12.0,1771.0
330.0,2.0,1758.0
331.0,4.0,1763.0
332.0,7.0,1783.0
333.0,21.0,1774.0
334.0,33.0,1670.0
335.0,-1.0,1762.0
336.0,18.0,1759.0
337.0,8.0,1760.0
338.0,19.0,1781.0
339.0,29.0,1774.0
340.0,-4.0,1777.0
341.0,29.0,1684.0
342.0,8.0,1779.0
343.0,26.0,1756.0
344.0,-2.0,1781.0
345.0,1.0,1777.0
346.0,0.0,1768.0
347.0,12.0,1785.0
348.0,39.0,1757.0
349.0,22.0,1777.0
350.0,0.0,1761.0
351.0,4.0,1760.0
352.0,13.0,1762.0
353.0,12.0,1762.0
354.0,-4.0,1757.0
355.0,9.0,1756.0
356.0,11.0,1757.0
357.0,34.0,1782.0
358.0,4.0,1763.0
359.0,1.0,1778.0
360.0,-3.0,1776.0
361.0,-4.0,1765.0
362.0,7.0,1775.0
363.0,-3.0,1783.0
364.0,0.0,1784.0
365.0,1.0,1767.0
366.0,9.0,1770.0
367.0,12.0,1774.0
368.0,22.0,1781.0
369.0,0.0,1756.0
370.0,6.0,1757.0
371.0,1.0,1772.0
372.0,-3.0,1773.0
373.0,9.0,1771.0
374.0,20.0,1776.0
375.0,8.0,1782.0
376.0,2.0,1773.0
377.0,0.0,1767.0
378.0,10.0,1777.0
379.0,24.0,1761.0
380.0,11.0,1775.0
381.0,17.0,1784.0
382.0,2.0,1770.0
383.0,8.0,1763.0
384.0,7.0,1770.0
385.0,16.0,1592.0
386.0,4.0,1766.0
387.0,2.0,1769.0
388.0,3.0,1778.0
389.0,10.0,1761.0
390.0,6.0,1776.0
391.0,12.0,1780.0
392.0,10.0,1762.0
393.0,12.0,1780.0
394.0,0.0,1782.0
395.0,3.0,1759.0
396.0,8.0,1757.0
397.0,16.0,1781.0
398.0,0.0,1764.0
399.0,6.0,1785.0
400.0,1.0,1756.0
401.0,18.0,1779.0
402.0,5.0,1772.0
403.0,0.0,1781.0
404.0,3.0,1785.0
405.0,3.0,1763.0
406.0,6.0,1782.0
407.0,10.0,1779.0
408.0,8.0,1781.0
409.0,12.0,1760.0
410.0,1.0,1777.0
411.0,12.0,1780.0
412.0,27.0,1771.0
413.0,16.0,1781.0
414.0,8.0,1779.0
415.0,5.0,1759.0
416.0,3.0,1758.0
417.0,0.0,1756.0
418.0,11.0,1773.0
419.0,1.0,1777.0
420.0,13.0,1761.0
421.0,12.0,1775.0
422.0,1.0,1777.0
423.0,46.0,1738.0
424.0,14.0,1757.0
425.0,12.0,1780.0
426.0,1.0,1761.0
427.0,8.0,1775.0
428.0,5.0,1765.0
429.0,13.0,1772.0
430.0,7.0,1778.0
431.0,1.0,1785.0
432.0,4.0,1761.0
433.0,33.0,1775.0
434.0,2.0,1760.0
435.0,13.0,1779.0
436.0,2.0,1779.0
437.0,19.0,1758.0
438.0,1.0,1784.0
439.0,6.0,1771.0
440.0,3.0,1776.0
441.0,-1.0,1773.0
442.0,3.0,1781.0
443.0,43.0,1764.0
444.0,7.0,1766.0
445.0,8.0,1782.0
446.0,5.0,1784.0
447.0,2.0,1759.0
448.0,22.0,1766.0
449.0,-5.0,1759.0
450.0,-3.0,1762.0
451.0,22.0,1772.0
452.0,17.0,1776.0
453.0,16.0,1768.0
454.0,0.0,1763.0
455.0,49.0,1440.0
456.0,-1.0,1784.0
457.0,1.0,1775.0
458.0,11.0,1775.0
459.0,-3.0,1762.0
460.0,18.0,1772.0
461.0,0.0,1758.0
462.0,-2.0,1770.0
463.0,3.0,1783.0
464.0,-4.0,1779.0
465.0,20.0,1757.0
466.0,10.0,1762.0
467.0,-4.0,1770.0
468.0,7.0,1777.0
469.0,-2.0,1779.0
470.0,9.0,1783.0
471.0,-1.0,1766.0
472.0,-4.0,1758.0
473.0,5.0,1782.0
474.0,2.0,1762.0
475.0,17.0,1767.0
476.0,-4.0,1766.0
477.0,3.0,1777.0
478.0,7.0,1762.0
479.0,-4.0,1764.0
480.0,-11.0,1780.0
481.0,0.0,1772.0
482.0,6.0,1772.0
483.0,18.0,1766.0
484.0,13.0,1769.0
485.0,-4.0,1768.0
486.0,7.0,1772.0
487.0,4.0,1782.0
488.0,3.0,1765.0
489.0,18.0,1774.0
490.0,7.0,1784.0
491.0,10.0,1782.0
492.0,13.0,1777.0
493.0,4.0,1780.0
494.0,1.0,1760.0
495.0,18.0,1771.0
496.0,1.0,1771.0
497.0,2.0,1780.0
498.0,6.0,1781.0
499.0,7.0,1776.0
500.0,10.0,1785.0
501.0,3.0,1757.0
502.0,0.0,1775.0
503.0,0.0,1757.0
504.0,0.0,1781.0
505.0,5.0,1762.0
506.0,4.0,1763.0
507.0,3.0,1774.0
508.0,4.0,1776.0
509.0,1.0,1766.0
510.0,1.0,1776.0
511.0,13.0,1774.0
512.0,0.0,1774.0
513.0,17.0,1759.0
514.0,12.0,1768.0
515.0,4.0,1783.0
516.0,2.0,1776.0
517.0,6.0,1778.0
518.0,7.0,1776.0
519.0,5.0,1778.0
520.0,8.0,1785.0
521.0,3.0,1759.0
522.0,1.0,1771.0
523.0,1.0,1780.0
524.0,36.0,1777.0
525.0,0.0,1763.0
526.0,6.0,1767.0
527.0,0.0,1760.0
528.0,9.0,1772.0
529.0,2.0,1766.0
530.0,2.0,1758.0
531.0,2.0,1776.0
532.0,3.0,1782.0
533.0,17.0,1760.0
534.0,1.0,1756.0
535.0,13.0,1781.0
536.0,8.0,1768.0
537.0,28.0,1779.0
538.0,5.0,1784.0
539.0,4.0,1765.0
540.0,3.0,1782.0
541.0,0.0,1771.0
542.0,24.0,1778.0
543.0,3.0,1779.0
544.0,0.0,1775.0
545.0,-2.0,1763.0
546.0,10.0,1766.0
547.0,6.0,1784.0
548.0,1.0,1768.0
549.0,-5.0,1785.0
550.0,-3.0,1776.0
551.0,-11.0,1773.0
552.0,2.0,1769.0
553.0,-5.0,1777.0
554.0,-1.0,1761.0
555.0,7.0,1774.0
556.0,15.0,1757.0
557.0,5.0,1773.0
558.0,-1.0,1767.0
559.0,4.0,1760.0
560.0,17.0,1767.0
561.0,-17.0,1763.0
562.0,-1.0,1781.0
563.0,-1.0,1782.0
564.0,4.0,1782.0
565.0,9.0,1775.0
566.0,-8.0,1757.0
567.0,2.0,1785.0
568.0,0.0,1778.0
569.0,-2.0,1773.0
570.0,-4.0,1776.0
571.0,0.0,1760.0
572.0,12.0,1761.0
573.0,6.0,1782.0
574.0,-26.0,1781.0
575.0,-2.0,1764.0
576.0,3.0,1777.0
577.0,0.0,1764.0
578.0,21.0,1762.0
579.0,3.0,1765.0
580.0,1.0,1759.0
581.0,-5.0,1785.0
582.0,2.0,1758.0
583.0,4.0,1775.0
584.0,7.0,1776.0
585.0,28.0,1781.0
586.0,0.0,1780.0
587.0,9.0,1765.0
588.0,10.0,1770.0
589.0,0.0,1763.0
590.0,-5.0,1757.0
591.0,-1.0,1769.0
592.0,6.0,1760.0
593.0,0.0,1772.0
594.0,11.0,1785.0
595.0,6.0,1764.0
596.0,6.0,1777.0
597.0,-5.0,1762.0
598.0,9.0,1766.0
599.0,9.0,1772.0
600.0,14.0,1784.0
601.0,9.0,1777.0
602.0,0.0,1765.0
603.0,2.0,1781.0
604.0,10.0,1759.0
605.0,5.0,1766.0
606.0,9.0,1770.0
607.0,4.0,1780.0
608.0,9.0,1780.0
609.0,1.0,1778.0
610.0,4.0,1764.0
611.0,6.0,1760.0
612.0,6.0,1775.0
613.0,9.0,1783.0
614.0,7.0,1761.0
615.0,21.0,1781.0
616.0,28.0,1770.0
617.0,11.0,1773.0
618.0,0.0,1770.0
619.0,8.0,1763.0
620.0,6.0,1779.0
621.0,4.0,1769.0
622.0,8.0,1761.0
623.0,1.0,1775.0
624.0,6.0,1763.0
625.0,3.0,1770.0
626.0,19.0,1764.0
627.0,1.0,1757.0
628.0,1.0,1780.0
629.0,9.0,1780.0
630.0,2.0,1781.0
631.0,14.0,1756.0
632.0,7.0,1780.0
633.0,27.0,1776.0
634.0,1.0,1757.0
635.0,0.0,1756.0
636.0,2.0,1778.0
637.0,2.0,1777.0
638.0,5.0,1783.0
639.0,1.0,1780.0
640.0,1.0,1767.0
641.0,5.0,1764.0
642.0,7.0,1778.0
643.0,1.0,1785.0
644.0,1.0,1785.0
645.0,14.0,1766.0
646.0,18.0,1773.0
647.0,4.0,1762.0
648.0,5.0,1773.0
649.0,4.0,1780.0
650.0,2.0,1774.0
651.0,1.0,1776.0
652.0,13.0,1762.0
653.0,4.0,1773.0
654.0,3.0,1766.0
655.0,7.0,1769.0
656.0,10.0,1770.0
657.0,4.0,1775.0
658.0,9.0,1767.0
659.0,7.0,1770.0
660.0,4.0,1780.0
661.0,4.0,1766.0
662.0,12.0,1771.0
663.0,9.0,1772.0
664.0,1.0,1769.0
665.0,8.0,1762.0
666.0,4.0,1781.0
667.0,2.0,1774.0
668.0,1.0,1773.0
669.0,1.0,1762.0
670.0,22.0,1784.0
671.0,8.0,1777.0
672.0,1.0,1777.0
673.0,3.0,1778.0
674.0,5.0,1769.0
675.0,12.0,1760.0
676.0,11.0,1771.0
677.0,6.0,1776.0
678.0,0.0,1773.0
679.0,1.0,1757.0
680.0,13.0,1782.0
681.0,2.0,1773.0
682.0,2.0,1782.0
683.0,4.0,1778.0
684.0,2.0,1758.0
685.0,3.0,1779.0
686.0,1.0,1764.0
687.0,4.0,1772.0
