episode,reward,steps
238.0,18.0,2040.0
239.0,13.0,2413.0
240.0,17.0,2216.0
241.0,13.0,2720.0
242.0,15.0,2289.0
243.0,14.0,2511.0
244.0,18.0,2117.0
245.0,19.0,1838.0
246.0,14.0,2254.0
247.0,9.0,3056.0
248.0,14.0,2387.0
249.0,12.0,2407.0
250.0,15.0,2230.0
251.0,16.0,2112.0
252.0,14.0,2384.0
253.0,16.0,2144.0
254.0,10.0,2609.0
255.0,15.0,2141.0
256.0,14.0,2243.0
257.0,19.0,1976.0
258.0,16.0,2234.0
259.0,20.0,1752.0
260.0,10.0,2642.0
261.0,16.0,2078.0
262.0,13.0,2480.0
263.0,5.0,2998.0
264.0,6.0,2623.0
265.0,10.0,2857.0
266.0,17.0,2105.0
267.0,13.0,2545.0
268.0,11.0,2538.0
269.0,18.0,1809.0
270.0,14.0,2365.0
271.0,13.0,2124.0
272.0,11.0,2499.0
273.0,18.0,1893.0
274.0,17.0,1809.0
275.0,19.0,1831.0
276.0,17.0,2260.0
277.0,16.0,2197.0
278.0,14.0,2152.0
279.0,13.0,2266.0
280.0,11.0,2425.0
281.0,14.0,2179.0
282.0,14.0,2401.0
283.0,14.0,2218.0
284.0,14.0,2243.0
285.0,13.0,2437.0
286.0,19.0,1888.0
287.0,18.0,2022.0
288.0,13.0,2706.0
289.0,13.0,2418.0
290.0,15.0,2325.0
291.0,13.0,2368.0
292.0,17.0,2288.0
293.0,18.0,2100.0
294.0,14.0,2515.0
295.0,14.0,2352.0
296.0,17.0,2219.0
297.0,18.0,2043.0
298.0,15.0,2121.0
299.0,18.0,2157.0
300.0,16.0,2088.0
