episode,reward,steps
244.0,40.0,983.0
245.0,59.0,862.0
246.0,48.0,1084.0
247.0,22.0,1343.0
248.0,62.0,909.0
249.0,31.0,1145.0
250.0,42.0,1096.0
251.0,39.0,984.0
252.0,30.0,1112.0
253.0,17.0,1169.0
254.0,28.0,1181.0
255.0,34.0,1103.0
256.0,20.0,1349.0
257.0,51.0,958.0
258.0,65.0,937.0
259.0,53.0,973.0
260.0,48.0,1069.0
261.0,47.0,1058.0
262.0,47.0,1155.0
263.0,25.0,1207.0
264.0,55.0,927.0
265.0,39.0,1186.0
266.0,40.0,1043.0
267.0,48.0,1012.0
268.0,34.0,1192.0
269.0,23.0,1133.0
270.0,46.0,972.0
271.0,40.0,1174.0
272.0,23.0,1294.0
273.0,22.0,1434.0
274.0,60.0,1031.0
275.0,31.0,1430.0
276.0,47.0,1085.0
277.0,48.0,1129.0
278.0,55.0,925.0
279.0,40.0,1143.0
280.0,61.0,790.0
281.0,41.0,1281.0
282.0,37.0,1308.0
283.0,39.0,1246.0
284.0,39.0,1388.0
285.0,44.0,1040.0
286.0,53.0,1036.0
287.0,53.0,1048.0
288.0,66.0,924.0
289.0,54.0,943.0
290.0,9.0,1452.0
291.0,62.0,771.0
292.0,52.0,981.0
293.0,65.0,809.0
294.0,38.0,1148.0
295.0,52.0,1112.0
296.0,48.0,1054.0
297.0,42.0,1235.0
298.0,64.0,917.0
299.0,36.0,1220.0
300.0,23.0,1216.0
301.0,30.0,1245.0
302.0,57.0,856.0
303.0,41.0,1131.0
304.0,43.0,1253.0
305.0,33.0,1147.0
306.0,46.0,1033.0
307.0,45.0,1017.0
308.0,42.0,1179.0
309.0,39.0,1150.0
310.0,68.0,984.0
311.0,51.0,1080.0
312.0,59.0,814.0
313.0,58.0,919.0
314.0,69.0,842.0
315.0,47.0,830.0
316.0,44.0,994.0
317.0,39.0,1100.0
318.0,46.0,1001.0
319.0,34.0,1084.0
320.0,56.0,982.0
321.0,50.0,1009.0
322.0,40.0,1095.0
323.0,49.0,971.0
324.0,45.0,1024.0
325.0,52.0,796.0
326.0,73.0,761.0
327.0,37.0,1131.0
328.0,62.0,897.0
329.0,51.0,977.0
330.0,39.0,1177.0
331.0,59.0,1038.0
332.0,70.0,776.0
333.0,49.0,1062.0
334.0,62.0,881.0
335.0,40.0,1141.0
336.0,52.0,1005.0
337.0,59.0,778.0
338.0,32.0,1182.0
339.0,39.0,1036.0
340.0,59.0,811.0
341.0,76.0,705.0
342.0,39.0,1061.0
343.0,42.0,1059.0
344.0,36.0,1057.0
345.0,66.0,740.0
346.0,0.0,1785.0
347.0,53.0,1048.0
348.0,32.0,1338.0
349.0,28.0,1228.0
350.0,47.0,958.0
351.0,34.0,1140.0
352.0,59.0,783.0
353.0,31.0,1217.0
354.0,31.0,1443.0
355.0,58.0,839.0
356.0,41.0,989.0
357.0,32.0,1115.0
358.0,47.0,1022.0
359.0,60.0,866.0
360.0,51.0,952.0
361.0,63.0,855.0
362.0,8.0,1682.0
363.0,18.0,1781.0
