episode,reward,steps
239.0,15.0,2148.0
240.0,20.0,1743.0
241.0,7.0,2743.0
242.0,15.0,2221.0
243.0,18.0,1812.0
244.0,15.0,2307.0
245.0,19.0,1926.0
246.0,19.0,1834.0
247.0,9.0,2515.0
248.0,13.0,2446.0
249.0,18.0,1930.0
250.0,17.0,2034.0
251.0,14.0,2181.0
252.0,16.0,1875.0
253.0,17.0,1945.0
254.0,18.0,1808.0
255.0,10.0,2608.0
256.0,10.0,2261.0
257.0,14.0,2106.0
258.0,18.0,1796.0
259.0,15.0,2358.0
260.0,16.0,2206.0
261.0,17.0,1945.0
262.0,15.0,2217.0
263.0,13.0,2346.0
264.0,17.0,2322.0
265.0,18.0,1917.0
266.0,12.0,2456.0
267.0,4.0,3262.0
268.0,21.0,3178.0
269.0,13.0,2172.0
270.0,16.0,2262.0
271.0,20.0,1761.0
272.0,16.0,1983.0
273.0,17.0,2129.0
274.0,16.0,2090.0
275.0,20.0,1727.0
276.0,14.0,2191.0
277.0,17.0,2165.0
278.0,10.0,2516.0
279.0,17.0,2170.0
280.0,16.0,2187.0
281.0,20.0,1699.0
282.0,17.0,2025.0
283.0,17.0,2086.0
284.0,15.0,2240.0
285.0,18.0,1805.0
286.0,7.0,2912.0
287.0,9.0,2748.0
288.0,17.0,2027.0
289.0,10.0,2782.0
290.0,18.0,1772.0
291.0,19.0,1821.0
292.0,8.0,2559.0
293.0,16.0,2046.0
294.0,14.0,2354.0
295.0,16.0,2117.0
296.0,17.0,2279.0
297.0,15.0,2337.0
298.0,19.0,1713.0
299.0,19.0,1859.0
300.0,17.0,2141.0
