episode,reward,steps
241.0,20.0,1677.0
242.0,23.0,1777.0
243.0,33.0,1597.0
244.0,20.0,1720.0
245.0,16.0,1761.0
246.0,0.0,1769.0
247.0,11.0,1781.0
248.0,3.0,1774.0
249.0,6.0,1774.0
250.0,45.0,1288.0
251.0,8.0,1780.0
252.0,25.0,1465.0
253.0,21.0,1611.0
254.0,29.0,1611.0
255.0,10.0,1651.0
256.0,39.0,1401.0
257.0,0.0,1783.0
258.0,7.0,1767.0
259.0,7.0,1773.0
260.0,17.0,1779.0
261.0,11.0,1775.0
262.0,13.0,1779.0
263.0,32.0,1500.0
264.0,26.0,1580.0
265.0,44.0,1299.0
266.0,32.0,1632.0
267.0,6.0,1780.0
268.0,9.0,1684.0
269.0,14.0,1764.0
270.0,12.0,1768.0
271.0,51.0,1217.0
272.0,33.0,1487.0
273.0,7.0,1761.0
274.0,36.0,1407.0
275.0,8.0,1695.0
276.0,26.0,1529.0
277.0,-3.0,1761.0
278.0,10.0,1766.0
279.0,18.0,1784.0
280.0,25.0,1778.0
281.0,6.0,1776.0
282.0,2.0,1765.0
283.0,35.0,1415.0
284.0,26.0,1766.0
285.0,11.0,1674.0
286.0,25.0,1668.0
287.0,13.0,1663.0
288.0,14.0,1693.0
289.0,14.0,1702.0
290.0,23.0,1518.0
291.0,22.0,1592.0
292.0,13.0,1654.0
293.0,21.0,1499.0
294.0,6.0,1762.0
295.0,28.0,1588.0
296.0,10.0,1769.0
297.0,18.0,1589.0
298.0,20.0,1509.0
299.0,28.0,1781.0
300.0,31.0,1400.0
301.0,17.0,1758.0
302.0,44.0,1317.0
303.0,4.0,1763.0
304.0,6.0,1784.0
305.0,25.0,1466.0
306.0,32.0,1530.0
307.0,16.0,1719.0
308.0,14.0,1777.0
309.0,18.0,1724.0
310.0,19.0,1511.0
311.0,30.0,1405.0
312.0,9.0,1746.0
313.0,24.0,1568.0
314.0,15.0,1771.0
315.0,26.0,1582.0
316.0,3.0,1772.0
317.0,51.0,1107.0
318.0,9.0,1728.0
319.0,21.0,1572.0
320.0,20.0,1550.0
321.0,16.0,1782.0
322.0,10.0,1710.0
323.0,0.0,1783.0
324.0,29.0,1668.0
325.0,20.0,1520.0
326.0,31.0,1526.0
327.0,18.0,1763.0
328.0,1.0,1766.0
329.0,29.0,1579.0
330.0,11.0,1695.0
331.0,9.0,1688.0
332.0,20.0,1611.0
333.0,11.0,1773.0
334.0,-1.0,1783.0
335.0,12.0,1756.0
336.0,28.0,1257.0
337.0,22.0,1529.0
338.0,21.0,1616.0
339.0,21.0,1455.0
340.0,5.0,1758.0
341.0,23.0,1653.0
342.0,31.0,1389.0
343.0,10.0,1595.0
344.0,32.0,1660.0
345.0,5.0,1781.0
346.0,16.0,1757.0
347.0,18.0,1760.0
348.0,0.0,1756.0
349.0,22.0,1601.0
350.0,25.0,1484.0
351.0,35.0,1255.0
352.0,6.0,1771.0
353.0,15.0,1656.0
354.0,41.0,1419.0
355.0,5.0,1767.0
356.0,19.0,1693.0
357.0,35.0,1319.0
358.0,46.0,1235.0
359.0,16.0,1638.0
360.0,35.0,1591.0
361.0,12.0,1659.0
362.0,14.0,1568.0
363.0,14.0,1552.0
364.0,6.0,1729.0
365.0,11.0,1610.0
366.0,29.0,1582.0
367.0,28.0,1478.0
368.0,11.0,1761.0
369.0,20.0,1716.0
370.0,26.0,1527.0
371.0,44.0,1383.0
372.0,17.0,1768.0
373.0,25.0,1647.0
374.0,34.0,1296.0
375.0,45.0,1238.0
376.0,25.0,1778.0
377.0,27.0,1526.0
378.0,17.0,1679.0
379.0,13.0,1724.0
380.0,21.0,1634.0
381.0,33.0,1561.0
382.0,38.0,1445.0
383.0,6.0,1646.0
384.0,4.0,1600.0
385.0,43.0,1321.0
386.0,36.0,1365.0
387.0,33.0,1380.0
388.0,16.0,1591.0
389.0,20.0,1594.0
390.0,33.0,1384.0
391.0,33.0,1370.0
392.0,32.0,1509.0
393.0,16.0,1672.0
394.0,31.0,1506.0
395.0,-2.0,1756.0
396.0,-5.0,1766.0
397.0,33.0,1421.0
398.0,46.0,1452.0
399.0,22.0,1501.0
400.0,7.0,1781.0
401.0,16.0,1654.0
402.0,2.0,1785.0
403.0,23.0,1681.0
404.0,4.0,1775.0
405.0,31.0,1427.0
406.0,28.0,1617.0
407.0,14.0,1660.0
408.0,2.0,1776.0
409.0,18.0,1779.0
410.0,22.0,1650.0
411.0,4.0,1779.0
412.0,2.0,1760.0
413.0,18.0,1590.0
414.0,12.0,1617.0
415.0,31.0,1481.0
416.0,31.0,1642.0
417.0,31.0,1373.0
418.0,20.0,1551.0
419.0,19.0,1782.0
420.0,26.0,1761.0
421.0,15.0,1766.0
422.0,-9.0,1765.0
423.0,48.0,1278.0
424.0,18.0,1774.0
425.0,23.0,1670.0
426.0,13.0,1612.0
427.0,19.0,1519.0
428.0,13.0,1757.0
429.0,22.0,1496.0
430.0,19.0,1646.0
431.0,20.0,1763.0
432.0,27.0,1532.0
433.0,23.0,1508.0
434.0,43.0,1316.0
435.0,5.0,1756.0
436.0,9.0,1740.0
437.0,55.0,1222.0
438.0,16.0,1705.0
439.0,50.0,1311.0
440.0,38.0,1204.0
441.0,12.0,1646.0
442.0,29.0,1626.0
443.0,18.0,1575.0
444.0,21.0,1452.0
445.0,48.0,1285.0
446.0,17.0,1780.0
447.0,7.0,1771.0
448.0,23.0,1769.0
449.0,19.0,1654.0
450.0,29.0,1494.0
451.0,17.0,1547.0
452.0,22.0,1609.0
453.0,13.0,1656.0
454.0,46.0,1275.0
455.0,30.0,1397.0
456.0,36.0,1352.0
457.0,-13.0,1761.0
458.0,22.0,1499.0
459.0,30.0,1388.0
460.0,24.0,1602.0
461.0,18.0,1782.0
462.0,22.0,1597.0
463.0,20.0,1755.0
464.0,40.0,1314.0
465.0,16.0,1721.0
466.0,12.0,1618.0
467.0,36.0,1408.0
468.0,20.0,1720.0
469.0,21.0,1569.0
470.0,50.0,1156.0
471.0,4.0,1760.0
472.0,7.0,1766.0
473.0,21.0,1599.0
474.0,16.0,1780.0
475.0,42.0,1445.0
476.0,19.0,1698.0
477.0,3.0,1773.0
